dice,mse
0.9956602603843769,0.19451130157748744
0.9549469964664311,0.13654403691221603
0.9951219512195122,0.37980493912064384
0.902129490212949,0.13310305491644706
0.9939886271324126,0.18751397264834685
0.8855875831485588,0.12307077996455218
0.9907941956623498,0.3900530211626521
0.9965607373779062,0.2208800906398691
0.9768085842852198,0.17847574790315604
0.9822272215973004,0.13219716021612166
0.9070796460176991,0.08690063860671285
0.9772129710780018,0.13645057448037248
0.9435922810489856,0.11719374401859795
0.9667007614501648,0.2753945268974936
0.98430468664252,0.2793093418094851
0.8817005545286506,0.05838449468677053
0.9879605983217804,0.16681268035238625
0.892245720040282,0.0549982144392904
0.9821310390469887,0.13480132802228167
0.9972946859903382,0.31426266202970604
0.9887551785362004,0.3035151544840907
0.9281650071123755,0.0816547497397398
0.8321342925659473,0.04459364667455208
0.8772348033373063,0.04475440761940641
0.9596073990184976,0.15686839695876514
0.9867100623813398,0.11261084055543912
0.7322342239909039,0.04437352418129317
0.9582097600431383,0.11310818246124721
0.9947089947089947,0.2185848253401906
0.737410071942446,0.10305606180707703
0.9736147757255936,0.16046315622571114
0.9929583741866477,0.3414751364595026
0.8686626746506986,0.17188948261141257
0.9874081846799581,0.11599310166995462
0.9845543432053281,0.21277579993484236
0.7080843585237259,0.44614720888583703
0.9872435962853352,0.2973956124001783
0.9918520149746752,0.2769723802968276
0.9439116535890729,0.09926294018794933
0.8938471940500338,0.08622923541414358
0.9822874493927125,0.1217769385251755
0.6821885913853318,0.05408588981075861
0.9461382113821138,0.16913833489438304
0.9527896995708155,0.09062209624902905
0.9078149920255183,0.0985143810061949
0.9762949956101844,0.13854419987265265
0.9279437609841827,0.17208419908668207
0.9960101559666305,0.4191018632481511
0.9660326086956522,0.08965589261571495
0.8947826086956522,0.06542601703395223
0.6696869851729819,0.05027295536473008
0.9968059281972659,0.23777583168144636
0.9951801116184678,0.23756745984211558
0.9116355653128431,0.10095288730170462
0.8333333333333334,0.04899428830289645
0.9395889557816068,0.15481847911802935
0.9889631587128866,0.19263487252609487
0.958074222668004,0.15010862297421823
0.9922797456857403,0.264637504890599
0.9617283950617284,0.14799623674330414
0.9904857285928893,0.30527619549176926
0.9877398720682303,0.11221369043224382
0.9962099125364432,0.20852615314436174
0.9724444444444444,0.1707549377827871
0.9984396813665106,0.369308576632289
0.758744394618834,0.07684882685219623
0.9966996699669967,0.16570999608034465
0.9682713347921226,0.10718689391720912
0.8663239074550129,0.04087795306682335
0.9358517462580185,0.08036718160526636
0.8540051679586563,0.12008750982294364
0.9947852760736197,0.19847630616141912
0.9566894616868314,0.17967909470267235
0.9234629861982434,0.06764934763301675
