target,source,dice,mse
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_15/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_15/source_masks/source_mask_3.jpg,0.9291744169409072,0.10763779865382603
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_19/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_19/source_masks/source_mask_17.jpg,0.8940355329949239,0.07407012979769363
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_16/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_16/source_masks/source_mask_6.jpg,0.9183818310858765,0.08605777974680826
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_14/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_14/source_masks/source_mask_12.jpg,0.9036375239310785,0.08450778012684866
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_11/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_11/source_masks/source_mask_0.jpg,0.8720872087208721,0.07877590513709112
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_1/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_1/source_masks/source_mask_3.jpg,0.8567490581641092,0.08718255197593149
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_7/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_7/source_masks/source_mask_15.jpg,0.8555546053194218,0.09384675394717051
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_9/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_9/source_masks/source_mask_10.jpg,0.8728457335014712,0.0753972103219317
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_11/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_11/source_masks/source_mask_6.jpg,0.875685375336457,0.07877404171827228
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_11/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_11/source_masks/source_mask_3.jpg,0.8876051484747137,0.07877660016754233
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_19/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_19/source_masks/source_mask_3.jpg,0.8807806533729317,0.07408180885770564
