,dice,mse
0,0.7484662576687117,0.11039723687515204
1,0.9056603773584906,0.10267398018704844
2,0.9053497942386831,0.157142074191732
3,0.9347826086956522,0.1114573428063224
4,0.7976190476190477,0.11797436450024143
5,0.33112582781456956,0.12987882463804293
6,0.5625,0.0838412040987876
7,0.7586206896551724,0.07728497965976436
8,0.8333333333333334,0.10517455111573451
9,0.8906882591093117,0.14435831091261717
10,0.775,0.10786737406736464
11,0.7513812154696132,0.11159973249262567
12,0.59375,0.09916700555704021
13,0.753968253968254,0.19050088922540462
14,0.9139072847682119,0.0963077512778535
15,0.5531914893617021,0.06610477537860751
16,0.8625,0.22713859897289934
17,0.7441860465116279,0.10272119835231333
18,0.7014925373134329,0.09267052156489423
19,0.8028169014084507,0.2094657952082695
20,0.868421052631579,0.09122636240403766
21,0.5675675675675675,0.10164322326706796
22,0.872,0.16478202069261783
23,0.8245614035087719,0.14197661821953492
24,0.9646017699115044,0.14186621404878588
25,0.6834170854271356,0.14610930216884133
26,0.509090909090909,0.06351844196259757
27,0.7510548523206751,0.13945387559947506
28,0.5240641711229946,0.11177563117142325
29,0.8342245989304813,0.12557871045043453
30,0.8923076923076924,0.13059674535871843
31,0.7894736842105263,0.10148360461807808
32,0.6181818181818182,0.10284855620717903
33,0.8761904761904762,0.13058663585213365
34,0.5741626794258373,0.16396838874446862
35,0.7886178861788617,0.15218739566499234
36,0.846441947565543,0.18262428022920915
37,0.6792452830188679,0.10792535965524122
38,0.9172932330827067,0.17235150997566567
39,0.8120300751879699,0.15589052329933398
40,0.3106796116504854,0.07511312659170942
41,0.7948717948717948,0.10151975799679232
42,0.8631578947368421,0.12294361312884033
43,0.852589641434263,0.16099853273817036
44,0.7861271676300579,0.1193117966873938
45,0.863849765258216,0.14458814540267967
46,0.8557692307692307,0.12035196755440389
47,0.863013698630137,0.0976560548458873
48,0.9083333333333333,0.1508172553844589
49,0.6194690265486725,0.0711024180912837
50,0.883248730964467,0.11906159261253636
51,0.8605341246290801,0.23079861253058465
52,0.8055555555555556,0.07342177267020797
53,0.696969696969697,0.1141645872258686
54,0.9473684210526315,0.21915638097649137
55,0.8311688311688312,0.09507942732677345
56,0.8867924528301887,0.12156821340713907
57,0.6274509803921569,0.06600463386095425
58,0.8531468531468531,0.09256417916720204
59,0.39436619718309857,0.06861616744439641
60,0.7378640776699029,0.13321119125251218
61,0.9230769230769231,0.11527473619624325
